Time,CPU Usage (%),RAM Usage (%)
2022-12-01 22:31:01,6.005859375,16.9
2022-12-01 22:31:31,5.9326171875,19.9
2022-12-01 22:32:01,5.859375,19.6
2022-12-01 22:32:31,5.6396484375,19.3
2022-12-01 22:33:01,5.419921875,19.6
2022-12-01 22:33:31,5.2001953125,19.2
2022-12-01 22:34:01,4.98046875,19.2
2022-12-01 22:34:31,5.322265625,19.3
2022-12-01 22:35:01,5.38330078125,19.4
2022-12-01 22:35:31,5.5908203125,19.5
2022-12-01 22:36:01,5.517578125,19.4
2022-12-01 22:36:31,5.72509765625,19.6
2022-12-01 22:37:01,5.65185546875,16.9
2022-12-01 22:37:31,5.43212890625,19.8
2022-12-01 22:38:01,5.21240234375,19.5
2022-12-01 22:38:31,4.99267578125,19.5
2022-12-01 22:39:01,5.0537109375,19.6
2022-12-01 22:39:31,5.126953125,19.5
2022-12-01 22:40:01,5.33447265625,19.7
2022-12-01 22:40:31,5.11474609375,19.6
2022-12-01 22:41:01,5.04150390625,19.4
2022-12-01 22:41:31,5.11474609375,19.4
2022-12-01 22:42:01,4.89501953125,19.8
2022-12-01 22:42:31,4.9560546875,19.7
2022-12-01 22:43:01,4.8828125,17.6
2022-12-01 22:43:31,6.55517578125,20.2
2022-12-01 22:44:01,6.33544921875,20.1
2022-12-01 22:44:31,6.26220703125,19.8
2022-12-01 22:45:01,6.18896484375,19.9
2022-12-01 22:45:31,6.11572265625,19.8
2022-12-01 22:46:01,6.04248046875,19.9
2022-12-01 22:46:32,5.96923828125,19.6
2022-12-01 22:47:02,5.74951171875,19.8
2022-12-01 22:47:32,5.52978515625,19.8
2022-12-01 22:48:02,5.45654296875,19.9
2022-12-01 22:48:32,5.38330078125,19.6
2022-12-01 22:49:02,5.31005859375,18.1
2022-12-01 22:49:32,7.62939453125,20.2
2022-12-01 22:50:02,7.48291015625,20.1
2022-12-01 22:50:32,7.6171875,19.9
2022-12-01 22:51:02,7.32421875,19.9
2022-12-01 22:51:32,7.32421875,19.7
2022-12-01 22:52:02,7.177734375,19.8
2022-12-01 22:52:32,6.884765625,19.9
2022-12-01 22:53:02,6.640625,19.7
2022-12-01 22:53:32,6.4208984375,19.6
2022-12-01 22:54:02,6.201171875,19.7
2022-12-01 22:54:32,6.26220703125,19.8
